pharmacy_key,pharmacy_name,section,area,start_date,end_date,duty_type,source,timezone
ph_2b301737ba3a,DE L'ETOILE,SECTION D'ABOBO,ABOBO,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_a5f88e2dadaa,IRYS,SECTION D'ABOBO,ABOBO,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_65c6657cd24f,CARREFOUR KOBAKRO,SECTION D'ABOBO,ABOBO PK 18,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_341b06598b6c,CONCORDE PK 18,SECTION D'ABOBO,ABOBO PK 18,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_ec76c96be9c1,ESPERANCE,SECTION D'ABOBO,ABOBO PK 18,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_f07e5d884e03,MILIE HEVIE,SECTION D'ABOBO,ABOBO PK 18,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_d58909f83b2f,N'DOTRE PALMERAIE 2,SECTION D'ABOBO,ABOBO PK 18,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_6512413482f1,OLYMPIQUE,SECTION D'ABOBO,ABOBO PK 18,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_da1394ff3614,D'ALEPE,SECTION D'ABOBO,ALEPE / MONTEZO / BROFODOUME,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_379b492624ab,DU CARREFOUR ANCIENNE GENDARMERIE,SECTION D'ABOBO,ANYAMA,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_c5952ac78bb3,DU MARCHE D'ANYAMA,SECTION D'ABOBO,ANYAMA,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_47e6cd0f57b5,MEYDEBA,SECTION D'ABOBO,ANYAMA,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_6acddc7431c6,ABOBO BELLEVILLE (NOUVELLE),SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_3f323547ce5a,AVOCATIER MARCHE,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_4a92fc46ae6d,D'ABOBOTE,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_c512fb590f6d,DE LA CITE,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_5bc04472e6a8,DE LA PLAQUE II,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_dcccf4466f52,DU MONASTERE,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_ecc465ab37d6,LES 4 SAISONS,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_070dea924543,MARCHE VALENTIN,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_9a8fac10b50b,PLAQUE ANADOR,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
ph_700b228e7101,ROUTE DU ZOO,SECTION D'ABOBO,ROND POINT DE LA BRIGADE DE GENDARMERIE,2026-02-07,2026-02-13,24H,UNPPCI,Africa/Abidjan
