pharmacy_key,pharmacy_name,section,area,address,phones_str,phones_json
ph_d26d13e9c2a3,LA VIERGE DU SIGNE,SECTION D'ABOBO,A 200 M DERRIERE LE COLLEGE GUICHANROLAIN,,07 78 68 11 74,"[""07 78 68 11 74""]"
ph_2b301737ba3a,DE L'ETOILE,SECTION D'ABOBO,ABOBO,,01 02 44 06 88 ; 07 07 79 06 48,"[""01 02 44 06 88"", ""07 07 79 06 48""]"
ph_a5f88e2dadaa,IRYS,SECTION D'ABOBO,ABOBO,ABOBO ANONKOUA KOUTE EN FACE DE L'HOPITAL DES SŒURS,07 12 67 97 65,"[""07 12 67 97 65""]"
ph_b55296e24658,BIABOU MOSQUEE,SECTION D'ABOBO,ABOBO CARREFOUR SAMANKE,ABOBO BIABOU MORONOU / ROUTE D'ALEPE A COTE DE LA MOSQUEE COSIM,01 71 51 40 85 ; 05 65 12 33 50,"[""01 71 51 40 85"", ""05 65 12 33 50""]"
ph_09aab591bbd2,DE L'ANTENNE,SECTION D'ABOBO,ABOBO CARREFOUR SAMANKE,EN FACE DU 21 EME ARRONDISSEMENT ABOBO DERRIERE RAIL,05 95 20 18 69,"[""05 95 20 18 69""]"
ph_4b9cca62b682,EMS SANTE,SECTION D'ABOBO,ABOBO CARREFOUR SAMANKE,ABOBO AKEIKOI QUARTIER COLATIER DANS LA ZONE DE L'HOPITAL HOUPHOUET BOIGNY,01 72 53 40 40 ; 27 23 55 09 26,"[""01 72 53 40 40"", ""27 23 55 09 26""]"
ph_4a251c2f2e69,LA PAIX,SECTION D'ABOBO,ABOBO CARREFOUR SAMANKE,ABOBO COCOTERAIE / CARREFOUR TOTAL DOKUI A GAUCHE EN VENANT DU ZOO / EN FACE DU GROUPE SCOLAIRE NANTI,25 24 00 21 29,"[""25 24 00 21 29""]"
ph_e52d7067ff99,NOTRE DAME DE FATIMA,SECTION D'ABOBO,ABOBO CARREFOUR SAMANKE,ABOBO PLATEAU DOKUI / SUR VOIE MOBIL - ANGRE / FACE PAROISSE STE MONIQUE,07 07 77 21 49 ; 01 02 86 89 34,"[""07 07 77 21 49"", ""01 02 86 89 34""]"
ph_3b465a114ae5,SAINTE ANNE ABOBO BAOULE,SECTION D'ABOBO,ABOBO CARREFOUR SAMANKE,ABOBO BAOULE CARREFOUR POWER NON LOIN DU GROUPE SCOLAIRE AKE LOBA,01 52 35 82 30 ; 05 07 65 53 10,"[""01 52 35 82 30"", ""05 07 65 53 10""]"
ph_a5d8dbf14d29,D'ABOBO BAOULE,SECTION D'ABOBO,ABOBO COLATIER SUR LA VOIE MENANT A AKEIKOI,ABOBO BAOULE FACE AU COMMISSARIAT DU 34 EME ARRONDISSEMENT,07 47 98 39 21 ; 01 41 75 70 10,"[""07 47 98 39 21"", ""01 41 75 70 10""]"
