pharmacy_key,pharmacy_name,city,address,phones_str,phones_json
ph_f504747cd3ca,BELLE FONTAINE (GRDE),Abengourou,QUARTIER HKB,07 69 35 39 09 / 07 08 62 94 83,"[""07 69 35 39 09"", ""07 08 62 94 83""]"
ph_21a81368e668,DE L'INDENIE,Abengourou,VOIE PRINCIPALE A COTE DE LA GRANDE MOSQUEE,27 35 91 36 04,"[""27 35 91 36 04""]"
ph_3e1477344d0b,DU CARREFOUR,Abengourou,CHATEAU / VOIE PRINCIPALE DIOULAKRO / FACE STATION SHELL 1,27 35 91 35 03,"[""27 35 91 35 03""]"
ph_0924f699f237,DU MARCHE,Abengourou,PLACE DU GRAND MARCHE/ A COTE DE TELECEL,27 35 91 30 09 / 01 02 03 87 17,"[""27 35 91 30 09"", ""01 02 03 87 17""]"
ph_342c90f9254c,MOYA,Abengourou,RUE PRINCESSE / PETIT BASSAM / DIOULAKRO SUD,07 58 09 47 08 / 07 78 96 99 70,"[""07 58 09 47 08"", ""07 78 96 99 70""]"
ph_bb065cc408e5,PRUNELLE MARIE,Abengourou,QUARTIER AGNIKRO EXTENSION,27 35 91 35 45,"[""27 35 91 35 45""]"
ph_8405bcf47822,ST CHARBEL M. KOUAKOU K. MATHIEU,Abengourou,CAFE TOU PETIT MARCHE,27 35 91 27 37 / 01 01 80 80 02,"[""27 35 91 27 37"", ""01 01 80 80 02""]"
ph_7921ae7cf6d2,STE FAMILLE,Abengourou,PRES HOTEL LE ROYAUME,27 35 91 30 09,"[""27 35 91 30 09""]"
ph_2e6251c71b7c,DE LA BIA,Aboisso,,27 21 30 42 16,"[""27 21 30 42 16""]"
ph_d27af726c58f,DIVINE MISERICORDE,Aboisso,QUARTIER TP / FACE POSTE,27 21 30 43 58 / 27 35 96 23 44 / 07 77 06 08 13 / 07 88 58 96 83,"[""27 21 30 43 58"", ""27 35 96 23 44"", ""07 77 06 08 13"", ""07 88 58 96 83""]"
ph_09370df19abd,DU MARCHE,Aboisso,FACE A LA PLACE ELLEIGAND,27 21 30 40 63,"[""27 21 30 40 63""]"
ph_9cedbcf685e4,GRACE MARIE CHRIST,Aboisso,QUARTIER SOKOURA LAVAGE,27 33 80 01 51 / 07 78 11 11 88,"[""27 33 80 01 51"", ""07 78 11 11 88""]"
ph_3fc0cd422dff,D'ADIAKE,Adiake,,27 23 53 02 46,"[""27 23 53 02 46""]"
