numero,code,nom_commercial,groupe_therapeutique,prix_fcfa
1,8108772,5 FLUORO URACILE INJ FLACON DETAIL,"CANCEROLOGIE, ANTINEOPLASIQUE",13780.0
2,7112216,A CERUMEN SOLUTION DOUCE D4HYGIENE AURICULAIRE B/10X2ML,"ORL, BOUCHON DE CERUMEN",1065.0
3,3352892,ABUFENE CP 400 MG B/30,"GYNECOLOGIE,TRAITEMENTS DE LA MENOPAUSE",3805.0
4,3258453,ABZ SUSP BUVFL/10ML,"PARASITOLOGIE, ANTHELMINTIQUE",705.0
5,5015703,ACARILBIAL SOL P APPL LOC FL/200 ML,"DERMATOLOGIE, ANTIPARASITAIRE EXTERNE",2875.0
6,8003794,"ACCULOL CY 0,5% FL/5 ML","OPHTALMOLOGIE, ANTIGLAUCOMATEUX",3755.0
7,3240410,ACEFYL SIROP FL/120ML,"PNEUMOLOGIE, ANTITUSSIF",1185.0
8,2473652,ACELODON CP PELL 100MG B/10,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2785.0
9,2473651,ACELODON-P COMP PELL 100MG/500MG B/10,ANTALGIQUE/ANTIPYRETIQUE + AINS,2245.0
10,8096749,ACEM CP 500 MG B/10,"ANTIBIOTIQUE, MACROLIDE",6020.0
11,0164426,ACENLAND CP 100 MG B/10,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1600.0
12,0164464,ACENLAND-P CP 100MG/500MG B/10,ANTALGIQUE/ANTIPYRETIQUE + AINS,1915.0
13,3180631,ACEPAR CP B/10,ANTALGIQUE/ANTIPYRETIQUE + AINS,2030.0
14,8016577,ACFOL CP 5 MG B/25,"HEMATOLOGIE, ANTIANEMIQUES",2020.0
15,3262979,ACFRAN CP B/30,"HEMATOLOGIE, ANTIANEMIQUES",2755.0
16,3145029,ACFRAN SIROP FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",2745.0
17,2475514,ACIBAN SUSP BUV FL 200ML,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",1800.0
18,3224717,ACICLOVIR GENERIS CP 200 MG B/25,ANTIVIRAUX,6410.0
